position;channelTitle;videoId;publishedAt;publishedAtSQL;videoTitle;videoDescription;tags;videoCategoryId;videoCategoryLabel;topicCategories;duration;durationSec;dimension;definition;caption;defaultLanguage;defaultLAudioLanguage;thumbnail_maxres;licensedContent;locationDescription;latitude;longitude;viewCount;likeCount;dislikeCount;favoriteCount;commentCount
11;Tate;keXpJae-XfU;2023-10-18T11:12:55Z;2023-10-18 11:12:55;Barbara Walker – ‘It’s like life itself, like the air I breathe’ | Tate;In this film visual artist Barbara Walker MBE, RA shows us around her studio in Birmingham and talks about the themes present in her practice, including temporality, power and body politics. We also see her creating a free-hand wall drawing in Towner Gallery as part of her series Burden of Proof, whereby she creates large-scale in-situ portraits of individuals affected by the Windrush Scandal Barbara Walker is nominated for the 2023 Turner Prize, hosted by Towner Eastbourne. The winner will be announced on 5 December 2023. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Knowledge;PT7M56S;476;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/keXpJae-XfU/maxresdefault.jpg;;;;;226441;8737;;0;223
12;Tate;RgS1vWwFDI4;2023-10-11T08:18:40Z;2023-10-11 08:18:40;Rory Pilgrim – ‘Activism can come from a space of joy’ | Tate;What keeps us afloat in uncertain times? In this film, artist and composer Rory Pilgrim meets with the eight members of Green Shoes Arts who collaborated on RAFTS, a film and later live performance created over three years during the Covid-19 pandemic. Exploring the process of connection in different ways, from digital to embodied, verbal to musical, Rory's practice is underpinning by a concern as to how we might collectively contribute to social change. Rory Pilgrim is nominated for the 2023 Turner Prize, hosted by Towner Eastbourne. The winner will be announced on 5 December 2023. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Film,Music;PT8M35S;515;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/RgS1vWwFDI4/maxresdefault.jpg;;;;;6017;161;;0;6
13;Tate;r_Ej9J5bZuQ;2023-10-04T14:30:11Z;2023-10-04 14:30:11;Ghislaine Leung – ‘We are always holding and being held’ | Tate;Artist Ghislaine Leung takes a critical look at the ways in which art is produced, presented and circulated. She has developed a process of art-making that is based on ‘scores’. These are text-based instructions or descriptions that are realised by institutions in close conversation with the artist. In this film, narrated by Leung, we follow the installation of her work Violets 2 at Towner Eastbourne, and see how art technicians interpret the work’s score within the unique parameters of the gallery space. Ghislaine Leung is nominated for the 2023 Turner Prize, hosted by Towner Eastbourne. The winner will be announced on 5 December 2023. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Hobby,Lifestyle_(sociology);PT5M30S;330;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/r_Ej9J5bZuQ/maxresdefault.jpg;;;;;10042;144;;0;8
14;Tate;gWAdWljI9uU;2023-09-29T10:28:20Z;2023-09-29 10:28:20;Jesse Darling's Site Visit – A Road Trip Movie | Turner Prize Winner | Tate;Where are we, Jesse? The answer is not clear. In this video, artist Jesse Darling and a small film crew go on a road trip across the UK. Passing through seaside towns, container ports, service stations, retail parts and an abandoned airport, this is a journey that encounters at every turn the barriers and borders (both physical and invisible) of modern Britain. It’s a journey without a final destination, but one that hints at just how complicated and connected, how wonderful and terrible everything is. Jesse Darling is nominated for the 2023 Turner Prize, hosted by Towner Eastbourne. The winner will be announced on 5 December 2023. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Film,Hobby,Lifestyle_(sociology);PT11M21S;681;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/gWAdWljI9uU/maxresdefault.jpg;;;;;13722;258;;0;21
15;Tate;L-vvA-RRVPA;2023-09-14T15:30:08Z;2023-09-14 15:30:08;A Day in the Life of a Tate Security Officer | Tate;Security officer and budding artist Marcia Henderson takes us behind the scenes at Tate Britain and shares her artistic talents. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art,a day in the life,henry moore,24 hours,behind the scenes,meet the team,bts,staff stories,staff voices,marcia henderson;27;Education;Knowledge;PT2M51S;171;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/L-vvA-RRVPA/maxresdefault.jpg;1;;;;8701;404;;0;27
16;Tate;xccsk2H0zms;2023-09-05T15:30:26Z;2023-09-05 15:30:26;The Case of the Missing Painting | Arthur Devis | Tate;Our curatorial and conservation teams share the fascinating discovering they made whilst restoring Arthur Devis' painting, Portrait of a Man. What happened next tested their detective skills! If you can help us solve this art world mystery, please email us at: hello@tate.org.uk Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Britain,Art,British Art,Arthur Devis,missing art,lost art,art detective,art world mystery,behind the scenes art,art conservation,art curator,art curation,real life mystery,missing painting,art discovery,Portrait of a Man;27;Education;Knowledge;PT3M52S;232;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/xccsk2H0zms/maxresdefault.jpg;;;;;5960;189;;0;4
17;Tate;93l02ehQesM;2023-08-30T11:51:14Z;2023-08-30 11:51:14;"Sammy Baloji – ""These images became like testimonies"" | Tate";Artist Sammy Baloji grew up in the Katanga province of the Democratic Republic of Congo (DRC), an area shaped by the exploitation of both human and natural resources, particularly through mining. We visit his studio in Brussels, Belgium, to find out more about how he uses photographic archives to unpick this complex history, and document complex legacies of colonialism. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Art,Modern Art,Contemporary Art,congo,brussels;27;Education;Knowledge;PT7M26S;446;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/93l02ehQesM/maxresdefault.jpg;;;;;6674;252;;0;7
18;Tate;RgQIodLYuZc;2023-08-22T15:00:17Z;2023-08-22 15:00:17;Girlhood and Art | Tate;Experiences of girlhood are shaped by art and visual culture as much as they are shown in them. In this film, Claire Marie Healy explores this relationship, guiding us through the making and meaning of girlhood in Tate's collection of art. She traces the journey of 'the girl' in art, from a silent subject of portraiture, to an expressive creator of self-portraiture. Claire Marie Healy is a writer and editor who explores the experiences of young women in her ongoing multi-media project, Girlhood Studies. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art,womanhood in art,art history,woman in art,women in art,girls in art,girl in art,portrait of a girl,Tate collection;27;Education;Hobby,Lifestyle_(sociology);PT4M21S;261;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/RgQIodLYuZc/maxresdefault.jpg;;;;;6995;233;;0;5
19;Tate;ZV_otmtzW64;2023-08-15T15:00:25Z;2023-08-15 15:00:25;How to create an art-inspired garden | Tate;"Want to bring a bit of Barbara Hepworth into your own green space? Jodi Dickinson, Head Gardener at the Barbara Hepworth Museum and Sculpture Garden shares his top tips on texture, height, climate and sustainability. Artist Barbara Hepworth moved to Cornwall at the outbreak of war in 1939. She lived and worked in Trewyn studios, now the Hepworth Museum, from 1949 until her death in 1975. 'Finding Trewyn Studio was a sort of magic', wrote Hepworth; 'here was a studio, a yard and garden where I could work in open air and space'. Today, Jodi takes great care to maintain the garden as it was towards the end of Hepworth's life. Subscribe for weekly films: http://goo.gl/X1ZnEl";Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art,arty garden,art garden,garden design,landscape architecture,artist garden,garden tips,gardening tips,garden tutorial,how to garden,Barbara Hepworth,Hepworth sculpture garden,gardening hack,gardening tip,gardening for beginners;27;Education;Hobby,Lifestyle_(sociology);PT4M46S;286;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/ZV_otmtzW64/maxresdefault.jpg;;;;;7142;319;;0;11
20;Tate;QWhCWd-jg2M;2023-08-08T16:00:18Z;2023-08-08 16:00:18;Is it Real Gold? Framing Art | Tate;Take a look behind-the-scenes, as Lead Frame Conservator, Batoul Algasra chats to us about looking after the picture frames, what goes into her conservation work and her favourite thing about the role. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art,conservation,behind-the-scenes,repairing art,art conservation,art science,repairing frames,art frames,picture frames,frame conservation,historical frames,art history;27;Education;Knowledge;PT2M14S;134;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/QWhCWd-jg2M/maxresdefault.jpg;1;;;;5321;257;;0;17
21;Tate;I4LPcpLMLY4;2023-08-01T16:00:25Z;2023-08-01 16:00:25;Meet the Rossettis: love, relationships and struggles | Tate;Curator Carol Jacobi introduces the Rossetti family and their revolutionary approach to art, love and lifestyles in the largest exhibition of Rossetti artwork in two decades. The exhibition is on at Tate Britain 6 April – 24 September 2023 Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art,Pre-raphaelite art,Dante Gabriel Rossetti,Christina Rossetti,Elizabeth Rosetti,Elizabeth Siddal,Curator tour,art history,Pre-raphaelites;27;Education;Hobby,Lifestyle_(sociology);PT3M3S;183;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/I4LPcpLMLY4/maxresdefault.jpg;;;;;6244;256;;0;8
22;Tate;4FiJmE_gAj0;2023-07-27T18:00:01Z;2023-07-27 18:00:01;Why haven't I heard of the artist Hilma af Klint? | Tate;In this film, Frances Morris (Director Emerita, Tate Modern) discusses the visionary work of Swedish painter, Hilma af Klint. Explore Klint's interest in scientific discovery, spirituality and philosophy, as well as her otherworldly paintings, which she believed were commissioned by higher powers. The Hilma af Klint & Piet Mondrian: Forms of Life exhibition is on at Tate Modern 20 April – 3 September 2023 Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art,abstract art,women artists,women art history,female artist,swedish art,swedish artist,abstraction,abstract painting,female painter,woman painter,woman artist,discover artists,Frances Morris,Piet Mondrian,Art history;27;Education;Knowledge;PT2M30S;150;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/4FiJmE_gAj0/maxresdefault.jpg;;;;;13320;572;;0;36
23;Tate;RKGifiMbkkE;2023-07-10T15:00:27Z;2023-07-10 15:00:27;Discover the work of artist and fisherman, Alfred Wallis | Tate;Artist, Alfred Wallis was born in Devonport and later lived in St Ives, both towns in Cornwall, UK. Having no artistic training, he began painting at the age of 70. His pictures tell stories of living by the coast and his memories of working at sea. In this film we explore the artist's work, his use of everyday materials and his final three sketchbooks, which have been acquired by Tate and Kettle's Yard. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate St Ives,Art,Modern Art,British Art,Modernist art,British Modernism,Alfred Wallis,self taught artist,St Ives artist,St Ives Art,Cornwall art,Cornish art;27;Education;Hobby,Lifestyle_(sociology);PT4M15S;255;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/RKGifiMbkkE/maxresdefault.jpg;;;;;7388;241;;0;12
24;Tate;FYV_LgAWmcQ;2023-06-27T15:00:11Z;2023-06-27 15:00:11;Meet the man who helped introduce modern British art to Europe | Tate;Art historian J.P. Hodin was friend and supporter to some of Europe's most important artists and thinkers, such as Franz Kafka, Barbara Hepworth and Oskar Kokoschka. An émigré from Prague who spoke four languages fluently, and wrote in seven, he was responsible for introducing many European cultural figures to British audiences, and for opening up movements in the British art world, like the St Ives scene, to the continent. In this film, his daughter Annabel Hodin, writer and curator Alexandra Lazar and artist Andrew Stahl recount the life of this fascinating figure. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Knowledge;PT5M28S;328;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/FYV_LgAWmcQ/maxresdefault.jpg;;;;;3913;129;;0;5
25;Tate;QFw8NlC56Qo;2023-05-16T12:00:29Z;2023-05-16 12:00:29;Motherhood & Art | Tate;This film delves into the subject of motherhood as seen through the eyes of artists, providing a fresh insight into maternity as an art-historical subject and revealing the ways in which it has been confronted and re-imagined over the past 400 years. Whether we are mothers ourselves, or whether we bring or nurture life in a wider sense, we all have some understanding of motherhood. Giving birth to their creations, artists have represented this vital and complex subject in a variety of ways, providing insight into what motherhood might mean, its joys and challenges, and seeking to articulate its unspoken aspects. Ann Coxon is Curator of International Art at Tate. Her book, Motherhood is available now: https://shop.tate.org.uk/motherhood/27667.html Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art,mom art,parent art,mothers art,art history,women in art,women art history,female art history,babies in art,baby art;27;Education;Hobby,Lifestyle_(sociology);PT4M37S;277;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/QFw8NlC56Qo/maxresdefault.jpg;;;;;7484;242;;0;9
26;Tate;dxOs_jkWz68;2023-04-26T07:00:12Z;2023-04-26 07:00:12;5 Locations that Inspired Barbara Hepworth | Tate;Artist, Barbara Hepworth moved to Cornwall at the outbreak of the war in 1939. She lived and worked there until her death in 1975. In this film, we discover five Cornish locations that inspired the artist and her work. See the Barbara Hepworth: Art & Life exhibition at Tate St Ives 26 November 2022 – 1 May 2023 Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art,Barbara Hepworth,art cornwall,st ives,art england,british sculpture,british sculptor,english sculptor,modernist art;27;Education;Hobby,Lifestyle_(sociology);PT6M32S;392;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/dxOs_jkWz68/maxresdefault.jpg;;;;;16396;509;;0;7
27;Tate;ujK0VSVPr5g;2023-04-13T07:00:30Z;2023-04-13 07:00:30;Jadé Fadojutimi's 5 Favourite Things | Tate;London-based artist, Jadé Fadojutimi lets us into her studio and shares the stories behind five of her favourite things. This film was made in 2020. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Hobby,Lifestyle_(sociology);PT5M25S;325;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/ujK0VSVPr5g/maxresdefault.jpg;;;;;6626;200;;0;8
28;Tate;vVeYOtT3OSg;2023-02-26T15:00:39Z;2023-02-26 15:00:39;Jankel Adler's Sketchbooks – 'His life was one long journey' | Tate;A collection of sixteen sketchbooks in Tate's Archive shed some light on the fascinating life of Polish-Jewish artist Jankel Adler. Forced to leave Germany in 1933, Adler spent the rest of the decade moving through various cities in Europe. After the outbreak of the Second World War, he joined the Polish Army in France. In 1940 he was evacuated to Scotland and spent the remainder of his life in the UK. His sketchbooks cover the period of 1933-49 and help us trace the development of his artistic style throughout this tumultuous period. They allowed Adler to work when his itinerant existence kept him from easels and canvas, with many pages filled with studies and ideas which would be later worked into finished pieces. In this short film, David Aukin and Glenn Sujo explore the sketchbooks in more detail. The sketchbooks were catalogued and digitised as part of the Émigré Art Archives Project, generously funded by the Marie-Louise von Motesiczky Charitable Trust. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Knowledge;PT4M29S;269;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/vVeYOtT3OSg/maxresdefault.jpg;;;;;11527;356;;0;8
29;Tate;keKdWAafx5E;2023-02-11T15:00:28Z;2023-02-11 15:00:28;Art in Focus | Untitled by Etel Adnan | Tate;"This is one of artist Etel Adnan's leporellos: delicate and intricate folded booklets covered in script, symbols and imagery. In this short film, Cina Aissa, Learning Assistant at Tate, takes a closer look at the work. Speaking about her personal discovery of Adnan, Cina says: ""With her heritage spanning Greece, Lebanon and Syria, Adnan brings in other languages, cultures and points of view into her prolific works across literature, poetry and visual arts. I had never heard of her even though she is still alive and practising art well into her 90s. Feminist artists such as the Guerrilla Girls are celebrated for their work in fighting for the equal representation of women in art galleries, but for me this conversation only scratches the surface. When it comes to the experience of women of colour, we are struggling for so much more than simply to be treated equally to men -- we are struggling for our humanity. Many women of colour have to endure poverty while undertaking unpaid care and service work, all against the backdrop of a racist society. When women of colour do create art and build prolific careers, like Adnan, it’s rare that they become household names. Why haven’t more people heard of Etel Adnan? I was so excited to discover Adnan but also sad and angry to see how little she has been spoken of. This film has been created as part of the Terra Foundation For American Art Series: New Perspectives. Subscribe for weekly films: http://goo.gl/X1ZnEl";Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Knowledge;PT7M24S;444;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/keKdWAafx5E/maxresdefault.jpg;;;;;11907;408;;0;19
30;Tate;T_3cU1udmH8;2023-02-06T14:05:19Z;2023-02-06 14:05:19;Sit down for tea with artist Yasmin Jahan Nupur | Tate;Get to know artist Yasmin Jahan Nupur over a cup of tea, and discover the drink's complex history in this unique performance work. Nupur invites us into what appears to be a cosy domestic space. However, its colonial-era style evokes histories of violence in South Asia. The tablecloth is embroidered with an 1886 map of the British Empire. The napkins are stitched with opium flowers, a crop that farmers were forced to grow by the British East India Company, often for no profit. The artist herself wears a costume combining traditional Bangladeshi and British elements. On the walls are images of tea bushes, applied with a mixture of sugar and tea. While emphasising the comforting role of tea- drinking in Britain and South Asia, the work also asks us to reflect on the impact of British imperialism and colonialism. The performance Let Me Get You a Nice Cup of Tea took place at Tate Modern in October 2022. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Hobby,Lifestyle_(sociology);PT5M48S;348;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/T_3cU1udmH8/maxresdefault.jpg;;;;;17801;633;;0;28
